uniprot_id,PCP_PC,PCP_NC,PCP_NE,PCP_PO,PCP_NP,PCP_AL,PCP_CY,PCP_AR,PCP_AC,PCP_BS,PCP_NE_pH,PCP_HB,PCP_HL,PCP_NT,PCP_HX,PCP_SC,PCP_TN,PCP_SM,PCP_LR
P14902,0.144,0.117,0.739,0.199,0.504,0.414,0.05,0.092,0.117,0.144,0.739,0.496,0.231,0.328,0.104,0.047,0.226,0.467,0.533
Q92934,0.155,0.125,0.72,0.268,0.44,0.351,0.089,0.077,0.125,0.155,0.72,0.357,0.256,0.494,0.19,0.024,0.351,0.548,0.452
P40338,0.149,0.144,0.707,0.182,0.486,0.436,0.11,0.072,0.144,0.149,0.707,0.47,0.298,0.337,0.094,0.022,0.171,0.47,0.53
O94907,0.165,0.079,0.756,0.282,0.432,0.387,0.045,0.056,0.079,0.165,0.756,0.447,0.252,0.361,0.135,0.098,0.357,0.568,0.432
P51532,0.169,0.143,0.688,0.2,0.457,0.396,0.089,0.052,0.143,0.169,0.688,0.432,0.288,0.385,0.111,0.039,0.211,0.467,0.533
Q07071,0.123,0.107,0.77,0.233,0.514,0.439,0.043,0.065,0.107,0.123,0.77,0.515,0.19,0.381,0.137,0.041,0.242,0.491,0.509
P17712,0.144,0.163,0.692,0.196,0.469,0.372,0.019,0.067,0.163,0.144,0.692,0.458,0.191,0.396,0.116,0.077,0.241,0.477,0.523
P56524,0.142,0.112,0.746,0.24,0.48,0.433,0.079,0.044,0.112,0.142,0.746,0.47,0.248,0.387,0.126,0.032,0.249,0.494,0.506
O60760,0.136,0.136,0.729,0.201,0.482,0.382,0.05,0.116,0.136,0.136,0.729,0.533,0.231,0.312,0.095,0.045,0.141,0.427,0.573
P30542,0.098,0.061,0.84,0.175,0.629,0.521,0.067,0.117,0.061,0.098,0.84,0.65,0.202,0.209,0.086,0.055,0.218,0.479,0.521
Q506J9,0.121,0.081,0.799,0.233,0.53,0.432,0.034,0.093,0.081,0.121,0.799,0.57,0.191,0.303,0.146,0.061,0.235,0.496,0.504
na,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
